method,id,project,package,class,isFeatureEnvy,isLongMethod,isLongParametersList,isSwitchStatement,github_url,github_raw_url
unescapeHTMLUnicodeEntity(String),13,freemind-0.9.0,freemind.main,HtmlTools,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/main/HtmlTools.java#L321-L378,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/main/HtmlTools.java#L321-L378
scanElement(XMLElement),15,freemind-0.9.0,freemind.main,XMLElement,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/main/XMLElement.java#L2621-L2793,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/main/XMLElement.java#L2621-L2793
"loadPattern(XMLElement,List)",3,freemind-0.9.0,freemind.modes,StylePattern,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/StylePattern.java#L317-L404,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/StylePattern.java#L317-L404
setImageByFileChooser(),1,freemind-0.9.0,freemind.modes.mindmapmode,MindMapController,0,0,0,0,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/MindMapController.java#L1502-L1548,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/MindMapController.java#L1502-L1548
"importExplorerFavorites(File, MindMapNode, boolean)",16,freemind-0.9.0,freemind.modes.mindmapmode.actions,ImportExplorerFavoritesAction,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/actions/ImportExplorerFavoritesAction.java#L62-L114,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/actions/ImportExplorerFavoritesAction.java#L62-L114
"addNew(MindMapNode,int,KeyEvent)",99,freemind-0.9.0,freemind.modes.mindmapmode.actions,NewChildAction,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/actions/NewChildAction.java#L92-L140,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/actions/NewChildAction.java#L92-L140
"pasteStringWithoutRedisplay(Transferable, MindMapNode, boolean, boolean)",18,freemind-0.9.0,freemind.modes.mindmapmode.actions,PasteAction,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/actions/PasteAction.java#L524-L641,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/actions/PasteAction.java#L524-L641
"getTreeCellRendererComponent(JTree, boolean, Object, boolean, int, boolean, boolean)",1,freemind-0.9.0,freemind.modes.mindmapmode.attributeactors,ImportAttributesDialog.MyRenderer,0,0,1,0,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/attributeactors/ImportAttributesDialog.java#L116-L144,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/attributeactors/ImportAttributesDialog.java#L116-L144
drop(DropTargetDropEvent),118589,freemind-0.9.0,freemind.modes.mindmapmode.listeners,MindMapNodeDropListener,1,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/listeners/MindMapNodeDropListener.java#L76-L236,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/listeners/MindMapNodeDropListener.java#L76-L236
mouseDragged(MouseEvent e),36,freemind-0.9.0,freemind.modes.mindmapmode.listeners,MindMapNodeMotionListener,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/listeners/MindMapNodeMotionListener.java#L65-L106,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/modes/mindmapmode/listeners/MindMapNodeMotionListener.java#L65-L106
"paintClouds(double, double, double, double, double, Graphics2D, Graphics2D)",2,freemind-0.9.0,freemind.view.mindmapview,CloudView,0,0,1,0,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/CloudView.java#L137-L155,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/CloudView.java#L137-L155
treeNodesRemoved(TreeModelEvent),21,freemind-0.9.0,freemind.view.mindmapview,NodeView,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/NodeView.java#L1203-L1255,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/NodeView.java#L1203-L1255
updateText(),126,freemind-0.9.0,freemind.view.mindmapview,NodeView,0,0,0,1,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/NodeView.java#L758-L834,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/NodeView.java#L758-L834
"accumCubic(double[], double, double, double, double, double, double, double, double, double)",4,freemind-0.9.0,freemind.view.mindmapview,PathBBox,0,0,1,0,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/PathBBox.java#L171-L181,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/PathBBox.java#L171-L181
"accumQuad(double[], double, double, double, double, double, double, double)",3,freemind-0.9.0,freemind.view.mindmapview,PathBBox,0,0,1,0,https://github.com/JavaQualitasCorpus/freemind-0.9.0/blob/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/PathBBox.java#L135-L144,https://raw.githubusercontent.com/JavaQualitasCorpus/freemind-0.9.0/6f3a9a1e637b8d174e74881b33d93dcb78b1ff80/freemind/view/mindmapview/PathBBox.java#L135-L144
run(),79187,galleon-2.3.0,org.lnicholls.galleon.apps.email,org.lnicholls.galleon.apps.email.Email$3,1,1,0,1,https://github.com/JavaQualitasCorpus/galleon-2.3.0/blob/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/apps/email/Email.java#L1017-L1251,https://raw.githubusercontent.com/JavaQualitasCorpus/galleon-2.3.0/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/apps/email/Email.java#L1017-L1251
getPhotoDescriptions(String),79297,galleon-2.3.0,org.lnicholls.galleon.apps.internetSlideshows,InternetSlideshows,0,1,0,0,https://github.com/JavaQualitasCorpus/galleon-2.3.0/blob/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/apps/internetSlideshows/InternetSlideshows.java#L1415-L1591,https://raw.githubusercontent.com/JavaQualitasCorpus/galleon-2.3.0/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/apps/internetSlideshows/InternetSlideshows.java#L1415-L1591
"getTrafficResults(String,String,String,String,String)",82142,galleon-2.3.0,org.lnicholls.galleon.apps.traffic,Traffic,0,1,0,0,https://github.com/JavaQualitasCorpus/galleon-2.3.0/blob/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/apps/traffic/Traffic.java#L1166-L1358,https://raw.githubusercontent.com/JavaQualitasCorpus/galleon-2.3.0/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/apps/traffic/Traffic.java#L1166-L1358
"savePersistentValue(String,String,Date,int)",81802,galleon-2.3.0,org.lnicholls.galleon.database,PersistentValueManager,0,1,0,0,https://github.com/JavaQualitasCorpus/galleon-2.3.0/blob/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/database/PersistentValueManager.java#L446-L565,https://raw.githubusercontent.com/JavaQualitasCorpus/galleon-2.3.0/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/database/PersistentValueManager.java#L446-L565
"resolveService(JmDNS,String,String,ServiceInfo)",82787,galleon-2.3.0,org.lnicholls.galleon.server,TiVoListener,1,1,0,0,https://github.com/JavaQualitasCorpus/galleon-2.3.0/blob/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/server/TiVoListener.java#L189-L365,https://raw.githubusercontent.com/JavaQualitasCorpus/galleon-2.3.0/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/server/TiVoListener.java#L189-L365
init(IContext),80319,galleon-2.3.0,org.lnicholls.galleon.widget,DefaultApplication,1,0,0,0,https://github.com/JavaQualitasCorpus/galleon-2.3.0/blob/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/widget/DefaultApplication.java#L175-L251,https://raw.githubusercontent.com/JavaQualitasCorpus/galleon-2.3.0/7442da5a17c776f024475e3739d6429e0d2721b1/src/org/lnicholls/galleon/widget/DefaultApplication.java#L175-L251
"startElement(String,String,String,Attributes)",115471,ganttproject-2.0.9,net.sourceforge.ganttproject,GanttOptions.GanttXMLOptionsParser,1,1,0,0,https://github.com/JavaQualitasCorpus/ganttproject-2.1.1/blob/3079f1444b67fd16930123700e873c92e4451c87/ganttproject/src/net/sourceforge/ganttproject/GanttOptions.java#L705-L1037,https://raw.githubusercontent.com/JavaQualitasCorpus/ganttproject-2.1.1/3079f1444b67fd16930123700e873c92e4451c87/ganttproject/src/net/sourceforge/ganttproject/GanttOptions.java#L705-L1037
applyChanges(boolean),112030,ganttproject-2.0.9,net.sourceforge.ganttproject.gui.options,CSVSettingsPanel,1,0,0,0,https://github.com/JavaQualitasCorpus/ganttproject-2.1.1/blob/3079f1444b67fd16930123700e873c92e4451c87/ganttproject/src/net/sourceforge/ganttproject/gui/options/CSVSettingsPanel.java#L261-L310,https://raw.githubusercontent.com/JavaQualitasCorpus/ganttproject-2.1.1/3079f1444b67fd16930123700e873c92e4451c87/ganttproject/src/net/sourceforge/ganttproject/gui/options/CSVSettingsPanel.java#L261-L310
"getProperty(Task,String)",113279,ganttproject-2.0.9,net.sourceforge.ganttproject.task,TaskProperties,0,1,0,0,https://github.com/JavaQualitasCorpus/ganttproject-2.1.1/blob/3079f1444b67fd16930123700e873c92e4451c87/ganttproject/src/net/sourceforge/ganttproject/task/TaskProperties.java#L41-L141,https://raw.githubusercontent.com/JavaQualitasCorpus/ganttproject-2.1.1/3079f1444b67fd16930123700e873c92e4451c87/ganttproject/src/net/sourceforge/ganttproject/task/TaskProperties.java#L41-L141
"processTask(TaskManager,MPXCalendar,Task,DefaultMutableTreeNode)",111857,ganttproject-2.0.9,org.ganttproject.impex.msproject,GanttMPXJOpen,1,1,0,0,https://github.com/JavaQualitasCorpus/ganttproject-2.1.1/blob/3079f1444b67fd16930123700e873c92e4451c87/org.ganttproject.impex.msproject/src/org/ganttproject/impex/msproject/GanttMPXJOpen.java#L199-L309,https://raw.githubusercontent.com/JavaQualitasCorpus/ganttproject-2.1.1/3079f1444b67fd16930123700e873c92e4451c87/org.ganttproject.impex.msproject/src/org/ganttproject/impex/msproject/GanttMPXJOpen.java#L199-L309
"handleJobAction(CrawlJobHandler,HttpServletRequest,HttpServletResponse,String,String,String)",107522,heritrix-1.14.4,org.archive.crawler.admin.ui,JobConfigureUtils,0,1,0,0,https://github.com/JavaQualitasCorpus/heritrix-1.14.4/blob/5b33666600f0f836eb4bd0866aed06474eb70b71/src/java/org/archive/crawler/admin/ui/JobConfigureUtils.java#L295-L427,https://raw.githubusercontent.com/JavaQualitasCorpus/heritrix-1.14.4/5b33666600f0f836eb4bd0866aed06474eb70b71/src/java/org/archive/crawler/admin/ui/JobConfigureUtils.java#L295-L427
"processGeneralTag(CharSequence,CharSequence)",107206,heritrix-1.14.4,org.archive.extractor,RegexpHTMLLinkExtractor,0,1,0,0,https://github.com/JavaQualitasCorpus/heritrix-1.14.4/blob/5b33666600f0f836eb4bd0866aed06474eb70b71/src/java/org/archive/extractor/RegexpHTMLLinkExtractor.java#L181-L305,https://raw.githubusercontent.com/JavaQualitasCorpus/heritrix-1.14.4/5b33666600f0f836eb4bd0866aed06474eb70b71/src/java/org/archive/extractor/RegexpHTMLLinkExtractor.java#L181-L305
"readExpression(HsqlArrayList,short[],int,int,boolean)",167094,hsqldb-2.0.0,org.hsqldb,ParserDQL,1,1,0,0,https://github.com/JavaQualitasCorpus/hsqldb/blob/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/ParserDQL.java#L6433-L6577,https://raw.githubusercontent.com/JavaQualitasCorpus/hsqldb/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/ParserDQL.java#L6433-L6577
"getMethod(String,Routine,boolean[],boolean)",167202,hsqldb-2.0.0,org.hsqldb,Routine,1,0,0,0,https://github.com/JavaQualitasCorpus/hsqldb/blob/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/Routine.java#L1062-L1220,https://raw.githubusercontent.com/JavaQualitasCorpus/hsqldb/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/Routine.java#L1062-L1220
"addAllSQL(OrderedHashSet,OrderedHashSet,HsqlArrayList,Iterator,OrderedHashSet)",165624,hsqldb-2.0.0,org.hsqldb,SchemaObjectSet,1,1,0,0,https://github.com/JavaQualitasCorpus/hsqldb/blob/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/SchemaObjectSet.java#L463-L650,https://raw.githubusercontent.com/JavaQualitasCorpus/hsqldb/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/SchemaObjectSet.java#L463-L650
"performReferentialActions(Session,Table,RowSetNavigatorDataChange,Row,Object[],int[],HashSet)",166943,hsqldb-2.0.0,org.hsqldb,StatementDML,1,1,0,0,https://github.com/JavaQualitasCorpus/hsqldb/blob/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/StatementDML.java#L1574-L1757,https://raw.githubusercontent.com/JavaQualitasCorpus/hsqldb/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/StatementDML.java#L1574-L1757
"findNode(Session,PersistentStore,Object[],int[],int,int,int,boolean)",169130,hsqldb-2.0.0,org.hsqldb.index,IndexAVL,1,1,0,0,https://github.com/JavaQualitasCorpus/hsqldb/blob/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/index/IndexAVL.java#L1497-L1669,https://raw.githubusercontent.com/JavaQualitasCorpus/hsqldb/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/index/IndexAVL.java#L1497-L1669
"newResult(Session,DataInput,RowInputBinary,int)",163954,hsqldb-2.0.0,org.hsqldb.result,Result,1,1,0,0,https://github.com/JavaQualitasCorpus/hsqldb/blob/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/result/Result.java#L331-L586,https://raw.githubusercontent.com/JavaQualitasCorpus/hsqldb/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/result/Result.java#L331-L586
"addOrRemoveMultiVal(long,long,Object,Object,boolean,boolean)",170844,hsqldb-2.0.0,org.hsqldb.store,BaseHashMap,0,1,0,0,https://github.com/JavaQualitasCorpus/hsqldb/blob/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/map/BaseHashMap.java#L482-L680,https://raw.githubusercontent.com/JavaQualitasCorpus/hsqldb/dd97a19c2afe5f9811dbf748983685475ffb1a16/src/org/hsqldb/map/BaseHashMap.java#L482-L680
getFont(ChainedProperties),130041,itext-5.0.3,com.itextpdf.text.html.simpleparser,FactoryProperties,1,0,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/html/simpleparser/FactoryProperties.java#L160-L192,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/html/simpleparser/FactoryProperties.java#L160-L192
"setFieldProperty(String,String,Object,int[])",133266,itext-5.0.3,com.itextpdf.text.pdf,AcroFields,1,1,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/AcroFields.java#L920-L1089,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/AcroFields.java#L920-L1089
"resolveWeakTypes(int,int,byte,byte,byte)",134660,itext-5.0.3,com.itextpdf.text.pdf,BidiOrder,0,1,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/BidiOrder.java#L601-L716,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/BidiOrder.java#L601-L716
"addImage(Image,float,float,float,float,float,float,boolean)",133047,itext-5.0.3,com.itextpdf.text.pdf,PdfContentByte,1,1,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/PdfContentByte.java#L1143-L1271,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/PdfContentByte.java#L1143-L1271
"writeLineToContent(PdfLine,PdfContentByte,PdfContentByte,Object[],float)",132567,itext-5.0.3,com.itextpdf.text.pdf,PdfDocument,1,1,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/PdfDocument.java#L1238-L1595,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/PdfDocument.java#L1238-L1595
"writeCells(int,int,float,float,PdfContentByte[])",134871,itext-5.0.3,com.itextpdf.text.pdf,PdfPRow,1,1,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/PdfPRow.java#L270-L503,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/PdfPRow.java#L270-L503
"createOutlineAction(PdfDictionary,HashMap,PdfWriter,boolean)",135010,itext-5.0.3,com.itextpdf.text.pdf,SimpleBookmark,1,1,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/SimpleBookmark.java#L394-L496,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/SimpleBookmark.java#L394-L496
"decode2D(byte[],byte[],int,int,long)",131521,itext-5.0.3,com.itextpdf.text.pdf.codec,TIFFFaxDecoder,0,1,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/codec/TIFFFaxDecoder.java#L764-L915,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/codec/TIFFFaxDecoder.java#L764-L915
"decodeT6(byte[],byte[],int,int,long)",131522,itext-5.0.3,com.itextpdf.text.pdf.codec,TIFFFaxDecoder,0,1,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/codec/TIFFFaxDecoder.java#L917-L1133,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/codec/TIFFFaxDecoder.java#L917-L1133
parse(InputStream),130012,itext-5.0.3,com.itextpdf.text.pdf.fonts.cmaps,CMapParser,0,1,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/fonts/cmaps/CMapParser.java#L69-L179,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/fonts/cmaps/CMapParser.java#L69-L179
"encode(String,ErrorCorrectionLevel,Map,QRCode)",129892,itext-5.0.3,com.itextpdf.text.pdf.qrcode,Encoder,1,0,0,0,https://github.com/JavaQualitasCorpus/itext-5.0.3/blob/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/qrcode/Encoder.java#L72-L128,https://raw.githubusercontent.com/JavaQualitasCorpus/itext-5.0.3/2b2f1d6c4a7c347a4da87f36bcc86923edd0a11c/core/com/itextpdf/text/pdf/qrcode/Encoder.java#L72-L128
initialise(String),314,jFin_DateMath-R1.0.1,org.jfin.common,CSVFileFormatTokenizer,0,0,0,1,https://github.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/blob/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/common/CSVFileFormatTokenizer.java#L83-L132,https://raw.githubusercontent.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/common/CSVFileFormatTokenizer.java#L83-L132
"generateSchedule(Calendar, Calendar, Frequency, StubType, Period)",1266,jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,0,0,1,0,https://github.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/blob/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L249-L266,https://raw.githubusercontent.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L249-L266
"generateSchedule(Calendar, Calendar, int, int, StubType, Period, int)",43,jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,0,0,1,1,https://github.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/blob/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L350-L539,https://raw.githubusercontent.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L350-L539
"generateSchedule(Calendar, String, Frequency, StubType, Period)",1258,jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,0,0,1,0,https://github.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/blob/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L84-L103,https://raw.githubusercontent.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L84-L103
"generateSchedule(Calendar, Tenor, Frequency, StubType, Period, int)",1263,jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,0,0,1,0,https://github.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/blob/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L187-L207,https://raw.githubusercontent.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L187-L207
"generateSchedule(Calendar, Tenor, Frequency, StubType, int)",1261,jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,0,0,1,0,https://github.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/blob/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L145-L165,https://raw.githubusercontent.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L145-L165
"generateSchedule(Calendar,Calendar,int,int,StubType,Period,int)",1185,jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,1,1,0,0,https://github.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/blob/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L249-L266,https://raw.githubusercontent.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/ScheduleGenerator.java#L249-L266
"createPeriod(Calendar, Calendar, Calendar, Calendar, boolean)",1253,jFin_DateMath-R1.0.1,org.jfin.date,TypedScheduleGenerator,0,0,1,0,https://github.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/blob/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/TypedScheduleGenerator.java#L170-L189,https://raw.githubusercontent.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/TypedScheduleGenerator.java#L170-L189
"generateSchedule(Calendar, Calendar, int, int, StubType)",1251,jFin_DateMath-R1.0.1,org.jfin.date,TypedScheduleGenerator,0,0,1,0,https://github.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/blob/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/TypedScheduleGenerator.java#L83-L99,https://raw.githubusercontent.com/JavaQualitasCorpus/jFin_DateMath-R1.0.1/94f09e70c1f0f39e0c84b7f8468673da31bbf368/src/main/java/org/jfin/date/TypedScheduleGenerator.java#L83-L99
